,Integer Rank,Name,Position,Team,DSA Impact Factor,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
0,1,Andrew McAdorey,M,Redwoods,0.739,0.74,0.904,0.907,0.904,0.901,0.938,0.902,0.853,0.816,0.874,0.683,0.831,0.954,0.895,1.0,0.249,0.827,0.749,0.909,0.911,0.929,0.815,0.106,0.867,0.5,0.818,0.183,0.313,0.917,0.5,0.37,0.355,0.955,0.748
1,2,TJ Malone,A,Whipsnakes,0.73,0.74,0.935,0.929,0.928,0.927,0.938,0.939,0.918,0.75,0.923,0.666,0.763,1.0,0.838,1.0,0.085,0.693,0.669,0.969,0.959,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.947,0.866,0.5,0.37,0.355,0.947,0.901
2,3,Dylan Molloy,A,Redwoods,0.725,0.74,0.922,0.935,0.935,0.934,0.938,0.882,0.948,0.684,0.927,0.537,0.896,0.92,0.895,0.752,0.141,0.693,0.726,0.951,0.913,0.533,0.329,0.699,0.302,0.5,0.105,0.861,0.979,0.983,0.5,0.37,0.355,0.937,0.929
3,4,Marcus Holman,A,Cannons,0.725,0.74,0.882,0.898,0.882,0.861,0.973,0.855,0.889,0.667,0.886,0.602,0.964,0.91,0.974,0.796,0.185,0.777,0.79,0.968,0.969,0.533,0.329,0.699,0.302,0.5,0.168,0.861,0.947,0.866,0.5,0.37,0.355,0.865,0.901
4,5,Chris Kavanagh,A,Redwoods,0.72,0.74,0.911,0.916,0.904,0.89,0.973,0.902,0.926,0.644,0.916,0.585,0.915,0.943,0.958,1.0,0.123,0.827,0.808,0.982,0.978,0.533,0.329,0.699,0.302,0.5,0.168,0.922,0.313,0.866,0.5,0.37,0.355,0.865,0.929
5,6,Bryan Costabile,M,Atlas,0.698,0.74,0.89,0.923,0.913,0.901,0.973,0.749,0.921,0.689,0.911,0.589,0.964,0.91,0.967,0.774,0.075,0.693,0.635,0.944,0.913,0.533,0.329,0.699,0.302,0.5,0.168,0.861,0.313,0.943,0.5,0.37,0.355,0.926,0.901
6,7,Brennan O'Neill,A,Outlaws,0.697,0.74,0.927,0.916,0.913,0.911,0.938,0.939,0.948,0.61,0.927,0.537,0.941,0.895,0.838,0.651,0.185,0.693,0.669,0.967,0.949,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.959,0.5,0.37,0.355,0.955,0.815
7,8,Brad Smith,M,Whipsnakes,0.692,0.74,0.863,0.898,0.868,0.818,0.987,0.749,0.853,0.702,0.851,0.581,0.915,0.964,0.944,0.822,0.249,0.081,0.596,0.929,0.933,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.947,0.943,0.5,0.37,0.355,0.891,0.855
8,9,Graham Bundy,M,Outlaws,0.687,0.74,0.824,0.844,0.772,0.108,0.987,0.816,0.853,0.46,0.851,0.581,0.982,0.91,0.987,0.789,0.425,0.693,0.499,0.855,0.854,0.533,0.329,0.699,0.302,0.5,0.105,0.861,0.947,0.866,0.5,0.37,0.998,0.757,0.815
9,10,Sam Handley,M,Redwoods,0.685,0.382,0.765,0.798,0.772,0.743,0.938,0.749,0.8,0.546,0.822,0.637,0.941,0.895,0.958,0.8,0.292,0.081,0.436,0.669,0.644,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.947,0.943,0.5,1.0,0.998,0.757,0.815
10,11,Coulter Mackesy,A,Cannons,0.682,0.581,0.882,0.887,0.894,0.901,0.313,0.882,0.911,0.65,0.907,0.608,0.831,0.567,0.838,0.752,0.141,0.693,0.699,0.951,0.938,0.533,0.329,0.699,0.302,0.5,0.072,0.922,0.979,0.943,0.5,0.37,0.355,0.826,0.929
